"time","node","observed","forecast_mean","lower_95","upper_95"
181,"node1",2.99811565576309,3.16677897610581,1.71835235621685,4.66355032538385
181,"node2",3.53473760741061,3.7436834271744,2.26589692010788,5.19171107296644
181,"node3",3.12207245511791,3.62174534663439,2.1709271818429,5.04734644054903
181,"node4",3.1963618431005,3.70263115154937,2.26359175344934,5.16887297381685
181,"node5",3.02107293195229,3.20466643566459,1.75470563512564,4.66147965369062
181,"node6",3.71446795234579,3.05681473848272,1.56051531395374,4.51287080385491
181,"node7",1.99068571216041,3.02356585161705,1.5622800734264,4.43705768670356
181,"node8",2.01496493247775,2.94901808618017,1.45165585290698,4.44055194823872
181,"node9",3.53400962023409,3.25502119687396,1.80281369060309,4.72596328588641
181,"node10",2.36940942305667,3.07965647722094,1.55106646433051,4.61710439365829
181,"node11",2.93141077893908,2.97230252095739,1.47594229262484,4.44697133047175
181,"node12",3.14126146475757,3.10791597456185,1.65323539361344,4.59255972476947
181,"node13",3.67585105383239,3.2750899111109,1.7836766139437,4.6841888498353
181,"node14",3.54092041309341,3.06504452826462,1.65834123094928,4.54412930979118
181,"node15",3.3153829886351,3.16348479672123,1.73123272730834,4.64325243525302
181,"node16",3.63720796074048,3.1298361207956,1.6883310685958,4.54728962434989
181,"node17",2.62391590944993,3.05943997137684,1.54797286123744,4.54971365366087
181,"node18",3.24811639248716,3.07735169796312,1.56247764570628,4.5696562941451
181,"node19",2.78547488184075,2.69435774757794,1.22758106639083,4.12096339934488
181,"node20",0.836438687994582,2.71775300460282,1.24049140590027,4.14584226119392
181,"node21",1.46912511866807,2.92355424041325,1.44946331990823,4.39765353711082
181,"node22",2.06462257271779,2.83415854276057,1.32325553867031,4.3044043407982
181,"node23",2.69506207968888,2.50917663895696,1.01592699790765,3.97895960195016
181,"node24",3.75035985872618,2.71037974530537,1.24663021530081,4.2540296471771
181,"node25",3.94563837538147,3.34759486361716,1.87482684049935,4.8560055792116
181,"node26",0.830438030868351,2.97784482949748,1.56954523173282,4.43354069034533
181,"node27",3.32522113727856,3.23703062740935,1.75467227389876,4.73333956886852
181,"node28",3.05994131397701,3.04381114034184,1.59872751430258,4.53405831928778
181,"node29",3.93160716274607,3.05268215787335,1.52747382989113,4.57118265200124
181,"node30",2.98894126682126,2.67652541945577,1.2609042539172,4.18393797258003
182,"node1",2.09892594362172,3.25761579278397,1.78220617273991,4.7444544813944
182,"node2",2.55171854675751,3.10447692562898,1.62987751287562,4.57635864132843
182,"node3",3.36060948248257,3.32071998867402,1.90576636153493,4.78797931548976
182,"node4",3.31480528007256,3.04859913488223,1.60545516034719,4.56044043807995
182,"node5",3.79736794991245,3.29066141031239,1.83582429549358,4.676482169824
182,"node6",3.49204324000003,3.16514976675066,1.71845509328634,4.65890147234392
182,"node7",2.19808579063698,2.72860155213839,1.2743359464655,4.22356202324858
182,"node8",3.47326758907825,2.71473013503564,1.22534226145754,4.27111520712492
182,"node9",2.53309900940568,2.96236436624604,1.48906752084363,4.44326692734138
182,"node10",3.40175461811363,2.92238229897352,1.4225751073201,4.38017190150652
182,"node11",3.63690964702502,3.08293165380546,1.58007453414682,4.55512612620134
182,"node12",1.45325411032655,3.21472371512139,1.70684023356522,4.65820455906589
182,"node13",2.49513839724045,3.30459666619798,1.8851591245746,4.79574738302825
182,"node14",3.97852270824257,3.58797719696605,2.09503688695371,5.10337315154129
182,"node15",3.99521352210182,3.28002583445681,1.79750967996053,4.71392825070091
182,"node16",3.49931568981998,3.29127091749979,1.83000173566544,4.73749478634779
182,"node17",3.57327147394479,3.18283028104709,1.72719107878375,4.6846188203992
182,"node18",1.87594444538697,2.95580554090017,1.50385973896378,4.38356965867346
182,"node19",3.79817133440696,2.80589476282342,1.35242243161497,4.30612374378168
182,"node20",2.72523103647033,2.16163038512023,0.746050856689465,3.67996398919569
182,"node21",1.27690145843014,1.98662632324844,0.53613326245209,3.43049313147486
182,"node22",3.31712457669036,2.50677516366852,1.01399882027867,4.04760616212513
182,"node23",2.51518258007327,3.06265371359058,1.64603024161863,4.54016127958309
182,"node24",1.99032782021393,3.44260781513397,1.96849099716504,4.93430079934344
182,"node25",2.92289052096454,3.07267528470673,1.60399153172925,4.56209876048129
182,"node26",2.71026578246064,2.68797478512076,1.25876351471174,4.14766567223959
182,"node27",3.02643844091052,2.78309992694746,1.31906970428731,4.23160207252118
182,"node28",2.64822251973123,3.33314342908855,1.78232775659744,4.80630194475179
182,"node29",3.34458093329521,3.38248904048687,1.90353386942981,4.89129638386714
182,"node30",3.87548726112548,3.28250753643637,1.85623471058809,4.84953998849292
183,"node1",2.49533454308281,2.87901162592279,1.44035934953138,4.34531713373352
183,"node2",2.77604752831879,2.80956378771035,1.29845263156585,4.29502793663262
183,"node3",3.42567194278513,3.19680284374597,1.76366828076983,4.68954666503909
183,"node4",3.37775755223492,3.36780726689204,1.81447286210468,4.82360407617445
183,"node5",4.2245647500375,3.50775359363163,2.01012707813571,4.9785086503185
183,"node6",4.18897724488329,3.15612213365644,1.69606476932103,4.60753144595811
183,"node7",4.62187315064912,3.066371342005,1.60813434901774,4.56130198025802
183,"node8",4.384975897747,3.11277087784721,1.56425250963226,4.59097902657203
183,"node9",2.90748783804613,2.98217317888305,1.50337103490626,4.44597904619687
183,"node10",3.48036218517684,3.31971292309107,1.82270558634084,4.80405371708048
183,"node11",2.26015979418024,3.10352133119838,1.64403585579523,4.510673584188
183,"node12",2.62320369463338,2.60861694640509,1.19998372953177,4.05940106217159
183,"node13",3.05880109839448,2.79052535077105,1.29074729306516,4.2353949951982
183,"node14",3.9836457314968,3.47115931457117,1.98967242328655,4.94643308619508
183,"node15",4.03548234436938,3.66337629742623,2.16593517647302,5.13534695150047
183,"node16",3.75587831570884,3.4493400639867,2.00247488298478,4.91406366082637
183,"node17",3.585823018813,3.23616121179731,1.7446837588466,4.66495701133258
183,"node18",2.83802165200339,2.90374798706589,1.36184050689384,4.32485248281656
183,"node19",2.09357852217551,3.08568675725503,1.61336511516239,4.58060117503214
183,"node20",2.37031899406831,2.99168144780892,1.53491066323075,4.46578806659482
183,"node21",3.03290791721835,2.57633129416001,1.09241974499765,4.02601093573912
183,"node22",2.91343839534612,2.86348287001694,1.37833550971517,4.36383709395454
183,"node23",2.49847467014436,2.83946506407099,1.35661189899414,4.30276780476481
183,"node24",1.82736154919634,2.61790908428768,1.10803640341044,4.07157519135599
183,"node25",4.84706360660961,2.72473580055055,1.26674980477787,4.18982934589606
183,"node26",3.41203225079394,3.21976697319134,1.76059733165571,4.67822513228318
183,"node27",3.42691208657329,2.90121887521646,1.41657867593735,4.3068439521581
183,"node28",2.68151180791126,3.06645981817943,1.6459536006692,4.53543722604045
183,"node29",5.37272429544055,3.20512913635207,1.78857067339966,4.71527008297622
183,"node30",2.81983766593501,3.31484739876229,1.84246249949701,4.80849037317411
184,"node1",3.70857302352848,2.95200220078149,1.48044722648364,4.42987119996287
184,"node2",3.26616470179416,3.02731210937017,1.5813039127863,4.4673326972811
184,"node3",3.82612105766095,3.21758838570155,1.74411592553405,4.71214657728318
184,"node4",3.68074161560767,3.48825119756815,1.98905574021711,5.00729985629558
184,"node5",4.23021863709031,3.69854076504409,2.19629084466727,5.127027921957
184,"node6",3.99774243434512,3.89856809954758,2.45457486274984,5.33884489546334
184,"node7",5.04544368395333,4.14200947688495,2.66799549495443,5.63852128159624
184,"node8",4.19897131357632,3.71235270747102,2.22284202601041,5.16421266708449
184,"node9",4.37897190102738,3.43102736627627,1.98796141337736,4.85586620435696
